siteName,X,Y
Kirkko,661539.783896378,6966244.21119768
Rakennus,360603.68058863,6764444.91685869
Kirkko,614016.080681487,6948389.95537967
Kirkko,619593.668713415,6971071.01871501
Kirkko,457580.136324701,6702907.38264528
C-rakennus,386224.392875717,6672226.32768502
F-rakennus,386273.340207458,6672334.14573897
Kasvihuone A,386089.540338101,6672710.36915978
A-rakennus,385331.203021577,6672367.20900903
B-rakennus,385299.324587529,6672475.18703042
C-rakennus,385243.79707204,6672403.72157701
D-rakennus,385284.927343388,6672362.07005505
Tapuli,208221.772596583,6917510.21086209
Tapuli,287327.207890252,7066714.45077185
Hautakappeli,198455.683216981,6681935.58139459
Paarihuone,198467.590216145,6681983.87156527
Kelloteline,331438.912668978,7136775.81998337
K-talo,386083.661051118,6672774.61608251
Kellotorni,573244.750935371,7413552.80283136
Refraktoritorni,386353.234192842,6671179.29080634
B-rakennus,386273.340207458,6672210.45091669
E-rakennus,386223.065294785,6672310.33058647
"C42, Kellotapuli ja kirkon aita",388173.265191693,6669599.93228019
Kappeli,425623.762556179,6696091.71995365
Kappeli,316243.718175685,6748620.72782647
Kappeli,390319.213186343,6698598.35973439
Kappeli,263681.771112577,6995481.4000527
Kappeli,321350.658152733,6969101.2196619
Kappeli,487333.583314487,6784087.77861116
Kappeli,334109.31285254,6904869.96374772
Kappeli,253665.082278977,7000865.18419905
Vanha tavara-asema,508587.824196461,6908136.69881328
Kaivo,353253.706046192,6938725.05264258
Paja,310020.381585251,6869936.62432763
Viljamakasiini,310123.693768435,6869923.94690808
Riihi,310151.292609294,6869932.89508671
Kaivo 2,310139.731935591,6869922.07728864
Kaivo 1,310096.837053563,6869869.86791571
Sauna,278375.832664626,6688316.0726641
Talousrakennus,458271.204043458,6903451.27251821
"Miilumaja, Lönnrothin museokämppä",352569.342198848,6940712.94801225
Puukirkko,221452.839961951,6688948.87385925
Vanha sakasti,500289.132284394,7750405.84737124
Vanha sakasti,500289.132284394,7750405.84737124
